date,close
2021-10-22,44.05
2021-10-25,45.06
2021-10-26,44.96
2021-10-27,44.09
2021-10-28,47.0
2021-10-29,47.65
2021-11-01,49.96
2021-11-02,51.82
2021-11-03,53.67
2021-11-04,59.08
2021-11-05,60.91
2021-11-08,63.54
2021-11-09,63.4
2021-11-10,57.95
2021-11-11,61.64
2021-11-12,63.35
2021-11-15,63.2
2021-11-16,66.15
2021-11-17,64.52
2021-11-18,67.98
2021-11-19,68.61
2021-11-22,65.43
2021-11-23,64.74
2021-11-24,66.88
2021-11-26,61.37
2021-11-29,68.41
2021-11-30,64.67
2021-12-01,63.16
2021-12-02,63.25
2021-12-03,62.93
2021-12-06,62.6
2021-12-07,71.99
2021-12-08,70.69
2021-12-09,65.9
2021-12-10,67.6
2021-12-13,62.34
2021-12-14,61.52
2021-12-15,68.12
2021-12-16,59.23
2021-12-17,58.96
2021-12-20,57.55
2021-12-21,63.5
2021-12-22,65.38
2021-12-23,67.41
2021-12-27,72.99
2021-12-28,70.52
2021-12-29,71.0
2021-12-30,68.36
2021-12-31,68.01
2022-01-03,72.1
2022-01-04,71.07
2022-01-05,64.01
2022-01-06,65.54
2022-01-07,59.74
2022-01-10,60.0
2022-01-11,63.29
2022-01-12,64.58
2022-01-13,60.2
2022-01-14,64.48
2022-01-18,55.98
2022-01-19,50.82
2022-01-20,45.99
2022-01-21,43.71
2022-01-24,45.45
2022-01-25,40.19
2022-01-26,42.12
2022-01-27,36.36
2022-01-28,38.41
2022-01-31,44.58
2022-02-01,45.91
2022-02-02,49.34
2022-02-03,42.63
2022-02-04,43.46
2022-02-07,43.41
2022-02-08,46.6
2022-02-09,51.02
2022-02-10,46.42
2022-02-11,39.54
2022-02-14,39.59
2022-02-15,46.01
2022-02-16,46.1
2022-02-17,40.87
2022-02-18,39.63
2022-02-22,38.61
2022-02-23,35.91
2022-02-24,39.94
2022-02-25,41.78
2022-02-28,41.01
2022-03-01,36.58
2022-03-02,40.12
2022-03-03,37.55
2022-03-04,34.77
2022-03-07,29.58
2022-03-08,31.16
2022-03-09,34.93
2022-03-10,32.75
2022-03-11,30.69
2022-03-14,27.91
2022-03-15,31.51
2022-03-16,36.3
2022-03-17,36.95
2022-03-18,39.17
2022-03-21,39.0
2022-03-22,39.59
2022-03-23,36.69
2022-03-24,42.09
2022-03-25,42.01
2022-03-28,42.71
2022-03-29,45.58
2022-03-30,41.35
2022-03-31,38.78
2022-04-01,36.29
2022-04-04,37.96
2022-04-05,32.88
2022-04-06,30.51
2022-04-07,30.51
2022-04-08,28.29
2022-04-11,26.49
2022-04-12,26.24
2022-04-13,28.03
2022-04-14,25.61
2022-04-18,26.98
2022-04-19,28.75
2022-04-20,28.5
2022-04-21,26.21
2022-04-22,24.45
2022-04-25,25.67
2022-04-26,22.43
2022-04-27,21.95
2022-04-28,25.58
2022-04-29,22.24
2022-05-02,24.5
2022-05-03,25.11
2022-05-04,28.02
2022-05-05,23.99
2022-05-06,23.35
2022-05-09,19.72
2022-05-10,21.09
2022-05-11,19.15
2022-05-12,19.41
2022-05-13,22.49
2022-05-16,21.37
2022-05-17,24.58
2022-05-18,20.85
2022-05-19,20.51
2022-05-20,20.36
2022-05-23,20.63
2022-05-24,19.1
2022-05-25,20.19
2022-05-26,22.54
2022-05-27,25.26
2022-05-31,24.86
2022-06-01,23.71
2022-06-02,26.2
2022-06-03,23.93
2022-06-06,23.91
2022-06-07,24.6
2022-06-08,22.91
2022-06-09,21.09
2022-06-10,18.81
2022-06-13,15.55
2022-06-14,15.76
2022-06-15,16.61
2022-06-16,13.57
2022-06-17,13.7
2022-06-21,14.8
2022-06-22,14.29
2022-06-23,14.01
2022-06-24,15.81
2022-06-27,15.8
2022-06-28,14.56
2022-06-29,13.55
2022-06-30,13.1
2022-07-01,11.6
2022-07-05,11.85
2022-07-06,12.09
2022-07-07,13.71
2022-07-08,13.91
2022-07-11,12.91
2022-07-12,12.97
2022-07-13,13.29
2022-07-14,14.07
2022-07-15,15.11
2022-07-18,14.92
2022-07-19,16.95
2022-07-20,18.2
2022-07-21,19.1
2022-07-22,17.65
2022-07-25,17.3
2022-07-26,16.43
2022-07-27,18.73
2022-07-28,19.37
2022-07-29,19.83
2022-08-01,20.01
2022-08-02,19.92
2022-08-03,21.55
2022-08-04,22.07
2022-08-05,21.56
2022-08-08,20.54
2022-08-09,17.69
2022-08-10,19.91
2022-08-11,19.78
2022-08-12,21.6
2022-08-15,21.78
2022-08-16,21.14
2022-08-17,19.55
2022-08-18,20.89
2022-08-19,19.17
2022-08-22,17.04
2022-08-23,17.33
2022-08-24,17.41
2022-08-25,19.32
2022-08-26,15.98
2022-08-29,15.05
2022-08-30,14.47
2022-08-31,14.04
2022-09-01,13.22
2022-09-02,12.86
2022-09-06,12.42
2022-09-07,12.99
2022-09-08,13.65
2022-09-09,14.65
2022-09-12,14.78
2022-09-13,12.09
2022-09-14,12.46
2022-09-15,11.91
2022-09-16,12.06
2022-09-19,12.26
2022-09-20,11.7
2022-09-21,11.4
2022-09-22,10.51
2022-09-23,10.03
2022-09-26,9.55
2022-09-27,9.81
2022-09-28,10.17
2022-09-29,9.29
2022-09-30,8.86
2022-10-03,9.7
2022-10-04,11.04
2022-10-05,11.42
2022-10-06,11.19
2022-10-07,9.21
2022-10-10,8.28
2022-10-11,7.57
2022-10-12,7.34
2022-10-13,8.0
2022-10-14,6.93
2022-10-17,7.33
2022-10-18,7.4
2022-10-19,7.57
2022-10-20,7.7
2022-10-21,8.58
2022-10-24,8.68
2022-10-25,9.26
2022-10-26,9.01
2022-10-27,8.52
2022-10-28,9.5
2022-10-31,8.92
2022-11-01,9.1
2022-11-02,8.24
2022-11-03,7.89
2022-11-04,8.99
2022-11-07,9.59
2022-11-08,10.17
2022-11-09,9.24
2022-11-10,12.08
2022-11-11,13.22
2022-11-14,12.77
2022-11-15,13.87
2022-11-16,12.13
2022-11-17,12.37
2022-11-18,12.49
